PUloc,DOloc,mduration,taxitime
19.0,1,1,1
101.0,1,1,1
176.0,1,1,1
86.0,1,1,1
16.0,1,1,1
15.0,1,1,1
183.0,1,1,1
184.0,1,1,1
96.0,1,1,1
73.0,1,1,1
117.0,1,1,1
9.0,1,1,1
64.0,1,1,1
81.0,1,1,1
201.0,1,1,1
192.0,1,1,1
149.0,2,2,2
51.0,2,2,2
154.0,2,2,2
38.0,2,2,2
57.0,2,2,2
222.0,2,2,2
139.0,2,2,2
131.0,2,2,2
259.0,2,2,2
3.0,2,2,2
21.0,2,2,2
55.0,3,3,3
191.0,3,3,3
91.0,3,3,3
218.0,3,3,3
111.0,3,3,3
171.0,3,3,3
227.0,3,3,3
253.0,3,3,3
121.0,3,3,3
31.0,3,3,3
123.0,3,3,3
150.0,3,3,3
200.0,3,3,3
155.0,4,4,4
178.0,4,4,4
11.0,4,4,4
254.0,4,4,4
174.0,4,4,4
20.0,4,4,4
22.0,4,4,4
240.0,4,4,4
203.0,4,4,4
153.0,4,4,4
29.0,4,4,4
210.0,4,4,4
72.0,4,4,4
120.0,4,4,4
71.0,5,5,5
185.0,5,5,5
180.0,5,5,5
98.0,5,5,5
252.0,5,5,5
60.0,6,6,6
165.0,6,6,6
208.0,6,6,6
124.0,6,6,6
250.0,6,6,6
18.0,6,6,6
78.0,6,6,6
128.0,6,6,6
94.0,6,6,6
1.0,6,6,6
160.0,7,7,7
108.0,7,7,7
147.0,7,7,7
67.0,7,7,7
182.0,7,7,7
212.0,7,7,7
53.0,7,7,7
241.0,7,7,7
32.0,8,8,8
77.0,8,8,8
26.0,8,8,8
258.0,8,8,8
47.0,8,8,8
39.0,9,9,9
102.0,9,9,9
207.0,9,9,9
248.0,9,9,9
63.0,9,9,9
8.0,9,9,9
167.0,9,9,9
197.0,10,10,10
177.0,10,10,10
213.0,10,10,10
126.0,11,11,11
136.0,11,11,11
35.0,11,11,11
135.0,13,13,13
76.0,13,13,13
242.0,13,13,13
235.0,13,13,13
169.0,14,14,14
85.0,15,15,15
220.0,15,15,15
173.0,15,15,15
198.0,18,18,18
56.0,19,19,19
257.0,19,19,19
133.0,19,19,19
134.0,20,20,20
14.0,21,21,21
119.0,22,22,22
202.0,23,23,23
92.0,24,24,24
219.0,25,25,25
265.0,25,25,25
34.0,25,25,25
62.0,26,26,26
69.0,28,28,28
157.0,30,30,30
225.0,32,32,32
54.0,32,32,32
159.0,34,34,34
83.0,34,34,34
190.0,35,35,35
195.0,36,36,36
196.0,36,36,36
89.0,37,37,37
215.0,37,37,37
216.0,37,37,37
217.0,38,38,38
28.0,38,38,38
228.0,39,39,39
93.0,39,39,39
130.0,41,41,41
188.0,43,43,43
194.0,49,49,49
127.0,49,49,49
95.0,58,58,58
168.0,60,60,60
70.0,61,61,61
247.0,61,61,61
10.0,61,61,61
82.0,65,65,65
106.0,65,65,65
61.0,67,67,67
36.0,67,67,67
17.0,68,68,68
243.0,70,70,70
193.0,74,74,74
189.0,76,76,76
37.0,77,77,77
12.0,80,80,80
129.0,83,83,83
260.0,84,84,84
52.0,85,85,85
179.0,87,87,87
66.0,89,89,89
49.0,96,96,96
40.0,96,96,96
152.0,99,99,99
116.0,102,102,102
244.0,105,105,105
80.0,106,106,106
24.0,107,107,107
223.0,110,110,110
42.0,111,111,111
146.0,113,113,113
224.0,115,115,115
33.0,116,116,116
112.0,118,118,118
25.0,121,121,121
166.0,124,124,124
145.0,127,127,127
97.0,127,127,127
256.0,128,128,128
255.0,128,128,128
7.0,131,131,131
41.0,132,132,132
4.0,133,133,133
151.0,134,134,134
65.0,135,135,135
226.0,137,137,137
209.0,138,138,138
45.0,138,138,138
125.0,139,139,139
181.0,141,141,141
13.0,145,145,145
211.0,147,147,147
232.0,147,147,147
43.0,148,148,148
74.0,149,149,149
262.0,149,149,149
143.0,151,151,151
75.0,155,155,155
238.0,157,157,157
261.0,160,160,160
88.0,161,161,161
236.0,165,165,165
246.0,168,168,168
144.0,169,169,169
158.0,171,171,171
87.0,171,171,171
50.0,172,172,172
233.0,175,175,175
263.0,176,176,176
239.0,176,176,176
113.0,176,176,176
142.0,179,179,179
141.0,182,182,182
114.0,185,185,185
107.0,186,186,186
140.0,187,187,187
137.0,188,188,188
249.0,191,191,191
231.0,193,193,193
90.0,194,194,194
237.0,194,194,194
229.0,194,194,194
68.0,198,198,198
234.0,199,199,199
163.0,200,200,200
164.0,200,200,200
148.0,201,201,201
161.0,201,201,201
162.0,207,207,207
170.0,210,210,210
100.0,210,210,210
79.0,211,211,211
230.0,213,213,213
48.0,215,215,215
186.0,220,220,220
138.0,243,243,243
