bike_station,number of OD pair
495,258
173,120
146,42
3677,73
328,2
454,570
522,359
387,73
3603,235
3593,177
293,97
394,220
3002,231
309,45
312,5
3403,520
3432,766
3263,846
3054,90
3062,84
433,86
223,159
3412,137
3324,78
531,6
401,5
391,55
3674,17
307,188
410,26
2005,77
282,92
3396,60
3397,46
3401,122
3629,198
3518,121
3505,95
296,25
295,23
350,309
399,154
3637,87
479,3
3632,19
3308,157
3398,28
3394,94
3429,152
3142,297
266,1
369,524
336,5
3551,228
402,117
326,12
262,218
323,74
523,248
533,258
465,575
3399,148
325,298
3106,136
349,5
380,179
476,178
3131,226
3125,118
3122,1
3128,134
3615,645
356,37
3350,214
3314,191
3686,155
3466,254
3235,5
519,187
518,23
536,3
3522,92
3572,347
3297,169
3313,90
3574,166
3576,61
3300,18
3560,139
3342,104
3669,73
279,14
331,7
3467,53
3260,3
3616,184
3052,113
3067,8
432,243
3243,286
441,4
393,3
285,178
3294,236
3284,155
3438,75
3485,10
509,131
434,1
3140,203
3148,110
3524,27
3486,44
316,189
3069,233
3517,63
390,12
274,112
3625,52
503,12
3563,1
396,62
364,110
472,146
3134,126
3356,56
281,28
3130,60
3559,49
311,137
3541,50
3459,614
447,61
362,66
167,277
306,176
3065,81
2022,2
3592,2
3155,389
3605,18
3513,8
195,123
3516,5
3556,7
3523,1
490,493
3531,30
529,48
438,14
3244,78
498,27
3641,81
3370,60
3135,10
2008,8
3386,120
3242,7
243,4
83,281
3090,42
3409,154
3440,8
291,19
427,4
3346,5
3418,59
351,12
376,33
304,52
385,51
3147,109
3194,68
400,6
363,28
3050,52
3041,18
319,99
360,14
417,12
355,23
3489,6
330,4
534,21
414,14
321,8
3108,77
259,159
3182,5
3042,39
317,39
3179,16
467,37
3048,29
289,6
3241,19
3584,110
437,7
3382,136
492,422
505,259
3074,27
420,1
3306,4
3061,5
504,15
3453,18
3066,1
373,1
152,129
3087,12
3461,70
324,116
3093,39
3689,6
3295,49
267,140
3341,22
3119,34
3289,11
3504,29
3536,21
3499,14
460,24
3146,26
3145,30
3285,50
3288,3
3411,71
301,11
258,6
3455,1
416,11
3410,2
3476,66
383,15
3347,8
3495,36
3338,24
3318,22
3533,178
445,5
322,4
3086,22
407,5
3110,1
3080,3
313,4
419,6
421,5
3073,17
3648,15
343,15
241,2
418,15
3115,7
3107,2
2001,10
3361,1
3423,19
3071,52
3064,31
297,34
3078,2
3068,8
3456,3
3088,24
3126,307
143,9
3055,4
3329,1
3383,13
3534,55
450,48
3490,70
3622,16
3431,49
3345,38
3542,10
3363,2
3684,74
3529,13
3509,59
3649,12
305,27
3168,41
3283,3
3521,2
3143,8
3400,2
3282,4
3375,12
3164,4
3293,12
3553,4
3170,8
403,4
3435,11
3463,1
79,10
540,35
486,14
308,3
2010,31
151,132
3384,23
3083,24
3544,28
3085,7
411,7
366,1
3232,4
3057,2
3056,1
3171,41
513,2
3372,20
239,5
3373,12
398,2
3335,7
3298,1
3408,2
406,3
3414,6
3417,6
3393,1
3413,1
3364,5
497,11
3100,4
3688,31
499,24
3449,10
3141,23
3376,36
3129,2
2003,24
3671,11
3177,8
3528,101
443,6
3113,44
3424,8
3628,26
3296,2
537,6
3458,5
428,2
3060,9
229,2
507,2
168,5
247,43
327,1
3082,1
3654,17
3221,5
3430,8
3668,16
3081,2
3076,1
345,9
3077,4
469,11
237,2
477,3
3303,2
270,1
353,2
244,2
3464,1
3420,1
3381,1
3663,13
379,36
3319,11
265,5
3680,9
491,4
357,2
3070,9
3606,19
3102,3
3059,1
3660,109
483,5
3547,9
3159,6
3507,2
347,1
236,10
257,1
3474,8
382,4
3691,12
3597,1
3558,12
3581,14
174,1
527,2
526,1
474,4
511,2
3502,2
3165,15
3494,23
500,6
468,10
3158,1
3292,24
3378,3
3152,2
3150,22
3427,34
3075,1
3124,1
3121,1
3127,1
3620,2
3328,7
3307,1
3379,31
3510,14
405,19
448,2
3659,9
520,24
485,9
3360,4
446,1
3538,1
3365,2
3371,6
466,2
3578,2
3561,1
3340,1
3555,1
3519,6
3602,3
150,1
268,22
377,2
303,3
3666,7
2012,1
397,1
3647,1
3123,1
488,1
3447,1
3286,1
3327,25
3336,1
3539,1
3144,10
3362,2
3226,35
3238,2
453,18
334,2
494,3
435,1
3658,1
314,1
3305,4
3156,5
3151,10
440,1
3357,8
